State,Year,Satellite and Sensor,Data Period,2009 Forest Cover,2010 Forest Cover
Andhra Pradesh,NA,NA,NA,63814,46389
Arunachal Pradesh,NA,NA,NA,51540,67410
Assam,NA,NA,NA,26832,27673
Bihar,NA,NA,NA,6473,6845
Chhatisgarh,NA,NA,NA,59772,55674
Delhi,NA,NA,NA,85,176
Goa,NA,NA,NA,1224,2219
Gujarat,NA,NA,NA,18927,14619
Haryana,NA,NA,NA,1559,1608
Himachal Pradesh,NA,NA,NA,37033,14679
Jammu & Kashmir,NA,NA,NA,20230,22539
Jharkhand,NA,NA,NA,23605,22977
Karnataka,NA,NA,NA,38284,36194
Kerala,NA,NA,NA,11265,17300
Madhya Pradesh,NA,NA,NA,94689,77700
Maharashtra,NA,NA,NA,61939,50646
Manipur,NA,NA,NA,17418,17090
Meghalaya,NA,NA,NA,9496,17275
Mizoram,NA,NA,NA,16717,19117
Nagaland,NA,NA,NA,9222,13318
Orissa,NA,NA,NA,58136,48903
Punjab,NA,NA,NA,3058,1764
Rajasthan,NA,NA,NA,32639,16087
Sikkim,NA,NA,NA,5841,3359
Tamil Nadu,NA,NA,NA,22877,23625
Tripura,NA,NA,NA,6294,7977
Uttar Pradesh,NA,NA,NA,16583,14338
Uttarakhand,NA,NA,NA,34651,24496
West Bengal,NA,NA,NA,11879,12995
A. & N. Islands ,NA,NA,NA,7171,6724
Chandigarh,NA,NA,NA,34,17
Dadra & Nagar Haveli,NA,NA,NA,204,211
Daman & Diu ,NA,NA,NA,8,6
Lakshadweep,NA,NA,NA,0,27
Puducherry,NA,NA,NA,13,50
Total,,,,769512,692027
